FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
BLUEBELL CT,BLUEBELL_CT.html,45,0,0,0,0,44.2,23.2
BETTY CI,BETTY_CI.html,327,0,0,0,0,326.3,36.9
SUNGOLD CI,SUNGOLD_CI.html,206,0,1,0,1,204.8,37.9
SUNDIAL CI,SUNDIAL_CI.html,390,0,1,0,1,386.5,46.7
SUNDANCE DR,SUNDANCE_DR.html,347,0,0,0,0,345.4,38.0
STRATUS CM,STRATUS_CM.html,72,0,0,0,0,71.1,24.8
DRAKE CT,DRAKE_CT.html,35,0,0,0,0,34.2,22.6
DOROTHY CM,DOROTHY_CM.html,90,0,0,0,0,88.8,25.6
BERKELY PL,BERKELY_PL.html,80,0,0,0,0,79.2,24.9
SYDNEY AV,SYDNEY_AV.html,61,0,0,0,0,60.3,24.1
SYCAMORE CT,SYCAMORE_CT.html,57,0,0,0,0,55.9,24.1
SWEET BRIAR CM,SWEET_BRIAR_CM.html,27,0,0,0,0,25.5,22.3
SWALLOW CT,SWALLOW_CT.html,89,0,0,0,0,88.7,25.8
SUNSTREAM LN,SUNSTREAM_LN.html,127,0,0,0,0,125.1,27.6
SUNRISE DR,SUNRISE_DR.html,179,0,1,0,1,174.7,36.6
SUNRIDGE DR,SUNRIDGE_DR.html,111,0,0,0,0,109.9,26.7
NIMBUS CM,NIMBUS_CM.html,72,0,0,0,0,71.2,24.8
NIGHTINGALE CT,NIGHTINGALE_CT.html,48,0,0,0,0,46.9,23.5
NICOL CM,NICOL_CM.html,302,0,1,0,1,299.6,42.5
NICE CT,NICE_CT.html,47,0,0,0,0,45.6,23.4
EAST GATE DR,EAST_GATE_DR.html,583,0,1,0,1,746.7,55.5
EARHART WY,EARHART_WY.html,281,0,0,0,0,280.4,34.4
EAGLE CT,EAGLE_CT.html,23,0,0,0,0,22.4,21.9
DUNSMUIR PL,DUNSMUIR_PL.html,69,0,0,0,0,67.4,24.5
MURPHY ST,MURPHY_ST.html,77,0,0,0,0,76.4,25.1
EVELYN WY,EVELYN_WY.html,267,0,0,0,0,265.6,34.1
ESCONDIDO CT,ESCONDIDO_CT.html,34,0,0,0,0,33.5,22.7
EPSON ST,EPSON_ST.html,57,0,0,0,0,55.4,24.0
