FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
GOLF DR,GOLF_DR.html,500,5,2,2,0,497.0,62.0
RUTGERS WY,RUTGERS_WY.html,125,5,0,0,0,123.3,38.3
ERICA WY,ERICA_WY.html,273,5,1,1,0,269.8,51.4
CHALON GLEN CT,CHALON_GLEN_CT.html,111,5,0,0,0,109.9,37.5
CHALMETTE RD,CHALMETTE_RD.html,267,5,2,2,0,263.2,51.2
FARNSWORTH DR,FARNSWORTH_DR.html,648,5,0,0,0,644.4,63.2
N K ST,N_K_ST.html,866,5,0,0,0,882.1,71.9
MURRIETA BL,MURRIETA_BL.html,814,5,1,1,0,811.8,75.9
LEMON CM,LEMON_CM.html,60,5,0,0,0,59.2,35.2
TERRA WY,TERRA_WY.html,92,5,0,0,0,91.5,36.8
ELSINORE WY,ELSINORE_WY.html,110,5,0,0,0,109.7,37.4
ELVIRA ST,ELVIRA_ST.html,409,5,1,1,0,405.4,56.6
RACCOLIO WY,RACCOLIO_WY.html,188,5,0,0,0,187.3,40.8
LAUREL DR,LAUREL_DR.html,239,5,0,0,0,236.7,43.1
EDELWEISS WY,EDELWEISS_WY.html,209,5,1,1,0,208.0,47.9
CORTE SUENO,CORTE_SUENO.html,100,5,0,0,0,99.2,36.9
BALTUSROL RD,BALTUSROL_RD.html,69,5,0,0,0,68.0,41.7
BALTUSROL CT,BALTUSROL_CT.html,125,5,0,0,0,123.9,38.0
THUNDER CM,THUNDER_CM.html,170,5,0,0,0,168.0,40.7
VALLEY OF THE MOON RD,VALLEY_OF_THE_MOON_RD.html,255,5,0,0,0,253.1,44.4
TULIP WY,TULIP_WY.html,386,5,0,0,0,382.9,50.3
TORTUGA CM,TORTUGA_CM.html,82,5,0,0,0,79.5,42.5
COUNTRY LN,COUNTRY_LN.html,122,5,0,0,0,121.1,37.9
BARLETA CT,BARLETA_CT.html,147,5,0,0,0,146.2,45.6
EMERSON DR,EMERSON_DR.html,327,5,0,0,0,324.6,48.4
BAROUNI CT,BAROUNI_CT.html,94,5,0,0,0,92.9,36.8
FALCON WY,FALCON_WY.html,466,5,0,0,0,462.2,53.0
LODESTONE RD,LODESTONE_RD.html,150,5,0,0,0,148.4,39.4
MISTY WY,MISTY_WY.html,136,5,0,0,0,132.8,45.2
FLAGSTONE CM,FLAGSTONE_CM.html,55,5,0,0,0,53.5,34.9
BLACKWOOD CM,BLACKWOOD_CM.html,321,5,1,1,0,383.6,53.3
BISHOP PINE WY,BISHOP_PINE_WY.html,197,5,0,0,0,196.3,41.4
BRIDLE PATH CT,BRIDLE_PATH_CT.html,99,5,1,1,0,98.0,49.3
SPRING VALLEY CM,SPRING_VALLEY_CM.html,797,5,0,0,0,1087.6,69.9
SONOMA AV,SONOMA_AV.html,476,5,0,0,0,472.9,60.6
STERLING WY,STERLING_WY.html,58,5,1,1,0,56.5,47.6
FRUITWOOD CM,FRUITWOOD_CM.html,26,5,0,0,0,25.4,33.2
STARLING AV,STARLING_AV.html,344,5,1,1,0,339.6,54.0
SARATOGA CT,SARATOGA_CT.html,139,5,1,1,0,137.5,51.8
LUSITANA CT,LUSITANA_CT.html,69,5,0,0,0,67.9,41.8
MINERVA CT,MINERVA_CT.html,100,5,0,0,0,99.0,37.3
SB ISABEL ON I580 WB,SB_ISABEL_ON_I580_WB.html,632,5,1,0,1,632.1,74.6
CANTERBURY AV,CANTERBURY_AV.html,457,5,0,0,0,455.6,53.6
CARRARA WY,CARRARA_WY.html,264,5,0,0,0,262.7,44.9
CARSON PASS WY,CARSON_PASS_WY.html,196,5,0,0,0,195.3,41.3
S S ST,S_S_ST.html,600,5,1,1,0,707.1,66.6
MT HAMILTON CT,MT_HAMILTON_CT.html,30,5,0,0,0,29.4,33.4
CABERNET WY,CABERNET_WY.html,335,5,1,1,0,331.6,53.3
ALBATROSS AV,ALBATROSS_AV.html,438,5,1,1,0,432.6,57.7
AIRWAY OFF I580 EB,AIRWAY_OFF_I580_EB.html,478,5,2,1,1,477.6,73.2
MENDOCINO RD,MENDOCINO_RD.html,250,5,0,0,0,247.9,43.8
CALIENTE AV,CALIENTE_AV.html,746,5,0,0,0,742.3,66.4
SHASTA ST,SHASTA_ST.html,61,5,0,0,0,60.0,41.5
BRISTLECONE WY,BRISTLECONE_WY.html,242,5,0,0,0,239.8,43.3
